Depth (m),EDC3_gas_a (yr),CO2 (ppmv),sigma (ppmv),Depth (m).1,EDC3_gas_a (yr).1,CO2 (ppmv).1,Depth (m).2,tentatively synchronized on EDC3_gas_a (yr),CO2 (ppmv).2,sigma (ppmv).1,Depth (m).3,EDC3_gas_a (yr).2,CO2 (ppmv).3,sigma (ppmv).2,Depth (m).4,EDC3_gas_a (yr).3,CO2 (ppmv).4,Depth (m).5,EDC3_gas_a (yr).4,CO2 (ppmv).5,sigma (ppmv).3,Depth (m).6,EDC3_gas_a (yr).5,CO2 (ppmv).6
160.03,2128.0,276.7,0.8,800.0,49690,210.1,407.73,36695.0,211.3,0.7,2789.29,431063.0,211.5,1.7,2766.77,417979.0,277.7,3066.93,673095.0,198.7,1.0,3159.48,759027.0,216.6
162.17,2212.0,277.6,1.3,812.2,50663,215.7,408.54,36883.0,212.6,1.1,2789.67,431445.0,207.6,1.3,2768.97,419013.0,273.3,3067.33,673475.0,202.3,0.7,3160.58,760338.0,214.9
165.52,2334.0,277.9,0.5,834.8,52382,190.4,411.31,37545.0,213.6,0.6,2790.78,432599.0,209.8,1.6,2771.17,420107.0,268.9,3068.07,674173.0,209.2,0.6,3161.68,761745.0,213.0
168.28,2433.0,273.9,1.1,902.2,57088,221.7,412.24,37740.0,210.8,0.4,2791.87,433674.0,207.5,1.3,2775.57,422374.0,276.6,3068.42,674521.0,213.7,0.8,3162.78,763158.0,221.3
171.0,2536.0,278.9,0.6,912.0,57657,210.4,413.11,37949.0,209.9,0.7,2792.97,434804.0,200.3,1.6,2775.57,422374.0,274.3,3069.52,675589.0,220.0,0.8,3163.88,764529.0,226.5
173.14,2604.0,275.3,1.6,986.2,62859,195.3,413.97,38149.0,210.6,0.5,2794.08,435989.0,201.7,1.6,2777.77,423491.0,270.9,3070.16,676170.0,217.4,0.6,3164.98,765917.0,216.1
176.52,2728.0,274.7,1.2,1011.3,64939,191.4,416.37,38679.0,210.3,0.7,2795.17,437152.0,201.3,1.1,2779.97,424604.0,273.7,3070.62,676524.0,214.0,0.9,3167.18,768940.0,227.5
178.72,2806.0,276.3,0.9,1023.5,65939,194.9,416.99,38826.0,207.8,0.6,2796.28,438356.0,202.0,1.5,2782.17,425678.0,257.7,3071.33,677068.0,215.6,1.4,3168.28,770434.0,233.9
181.45,2902.0,274.6,0.8,1087.2,71049,227.3,418.27,39100.0,205.7,0.8,2797.38,439565.0,199.1,1.1,2784.37,426953.0,254.1,3071.72,677380.0,217.4,1.5,3169.38,771888.0,226.9
185.85,3053.0,276.3,1.5,1112.5,73227,229.1,419.39,39345.0,198.6,0.5,2798.92,441220.0,201.1,0.9,,,,3072.44,677984.0,226.5,0.8,3170.48,773353.0,238.6
187.52,3116.0,273.1,1.1,1162.1,77150,217.1,420.31,39527.0,196.4,0.8,2800.02,442411.0,203.5,0.6,,,,3072.8,678291.0,230.0,0.9,3171.58,774854.0,240.1
189.72,3215.0,274.0,0.3,1175.0,78183,221.7,422.53,39960.0,197.5,0.8,2801.13,443562.0,208.1,1.8,,,,3073.53,678914.0,230.8,0.6,3172.68,776322.0,245.9
193.0,3336.0,275.0,0.6,1209.9,80614,230.9,424.75,40427.0,198.2,0.3,2802.21,444650.0,201.7,1.7,,,,3073.93,679252.0,230.3,1.2,3173.78,777719.0,246.7
196.3,3453.0,273.4,1.3,1237.2,82417,241.1,426.46,40837.0,201.4,0.8,2803.33,445829.0,201.2,2.1,,,,3074.56,679732.0,223.0,1.2,3174.88,779076.0,243.8
198.52,3523.0,273.0,0.8,1251.5,83333,236.4,427.06,40990.0,198.9,0.7,2804.42,446984.0,204.9,1.4,,,,3075.02,680081.0,225.0,1.3,3177.08,781771.0,251.2
201.28,3622.0,271.5,1.0,1261.2,84016,228.0,429.3,41620.0,201.4,0.7,2805.52,448103.0,201.9,1.8,,,,3075.73,680608.0,218.4,0.9,3178.18,783110.0,252.5
204.0,3721.0,275.4,0.5,1274.2,85020,214.2,430.13,41895.0,201.6,0.6,2806.62,449244.0,198.4,1.3,,,,3076.13,680920.0,216.2,1.0,3179.28,784409.0,248.4
